id;destinacija;Aiport;Država
b417;Amsterdam;Bergamo;Nizozemska
b418;Amsterdam;Bergamo;Nizozemska
b419;Amsterdam;Bergamo;Nizozemska
b420;Amsterdam;Bergamo;Nizozemska
b421;Amsterdam;Bergamo;Nizozemska
b422;Aqaba;Bergamo;Jordanija
b423;Aqaba;Bergamo;Jordanija
b424;Aqaba;Bergamo;Jordanija
b425;Aqaba;Bergamo;Jordanija
b426;Aqaba;Bergamo;Jordanija
b427;Aqaba;Bergamo;Jordanija
b428;Aqaba;Bergamo;Jordanija
b429;Aqaba;Bergamo;Jordanija
b430;Aqaba;Bergamo;Jordanija
b431;Aqaba;Bergamo;Jordanija
b432;Aqaba;Bergamo;Jordanija
b433;Aqaba;Bergamo;Jordanija
b434;Aqaba;Bergamo;Jordanija
b435;Aqaba;Bergamo;Jordanija
b436;Aqaba;Bergamo;Jordanija
b437;Aqaba;Bergamo;Jordanija
b438;Aqaba;Bergamo;Jordanija
b439;Aqaba;Bergamo;Jordanija
b440;Aqaba;Bergamo;Jordanija
b441;Aqaba;Bergamo;Jordanija
b442;Aqaba;Bergamo;Jordanija
b443;Aqaba;Bergamo;Jordanija
b444;Aqaba;Bergamo;Jordanija
b445;Aqaba;Bergamo;Jordanija
b446;Aqaba;Bergamo;Jordanija
b447;Aqaba;Bergamo;Jordanija
b448;Aqaba;Bergamo;Jordanija
b449;Aqaba;Bergamo;Jordanija
b450;Aqaba;Bergamo;Jordanija
b451;Aqaba;Bergamo;Jordanija
b452;Aqaba;Bergamo;Jordanija
b453;Aqaba;Bergamo;Jordanija
b454;Aqaba;Bergamo;Jordanija
b455;Aqaba;Bergamo;Jordanija
b456;Aqaba;Bergamo;Jordanija
b457;Aqaba;Bergamo;Jordanija
b458;Aqaba;Bergamo;Jordanija
b459;Aqaba;Bergamo;Jordanija
b460;Aqaba;Bergamo;Jordanija
b461;Aqaba;Bergamo;Jordanija
b462;Aqaba;Bergamo;Jordanija
b463;Aqaba;Bergamo;Jordanija
b464;Aqaba;Bergamo;Jordanija
b465;Athens;Bergamo;Grčija
b466;Athens;Bergamo;Grčija
b467;Athens;Bergamo;Grčija
b468;Athens;Bergamo;Grčija
b469;Athens;Bergamo;Grčija
b470;Athens;Bergamo;Grčija
b471;Athens;Bergamo;Grčija
b472;Athens;Bergamo;Grčija
b473;Athens;Bergamo;Grčija
b474;Athens;Bergamo;Grčija
b475;Athens;Bergamo;Grčija
b476;Athens;Bergamo;Grčija
