id,destinacija,datum,dan,cas 
v9781,Paris Orly,25/3/2023,SOB,1:45
v9782,Paris Orly,15/2/2023,SRE,1:45
v9783,Paris Orly,22/2/2023,SRE,1:45
v9784,Paris Orly,1/3/2023,SRE,1:45
v9785,Paris Orly,8/3/2023,SRE,1:45
v9786,Paris Orly,15/3/2023,SRE,1:45
v9787,Paris Orly,22/3/2023,SRE,1:45
v9788,Paris Orly,16/2/2023,CET,1:45
v9789,Paris Orly,23/2/2023,CET,1:45
v9790,Paris Orly,2/3/2023,CET,1:45
v9791,Paris Orly,9/3/2023,CET,1:45
v9792,Paris Orly,16/3/2023,CET,1:45
v9793,Paris Orly,23/3/2023,CET,1:45
v9794,Prague,7/11/2022,PON,1:30
v9795,Prague,14/11/2022,PON,1:30
v9796,Prague,21/11/2022,PON,1:30
v9797,Prague,28/11/2022,PON,1:30
v9798,Prague,5/12/2022,PON,1:30
v9799,Prague,12/12/2022,PON,1:30
v9800,Prague,19/12/2022,PON,1:30
v9801,Prague,26/12/2022,PON,1:30
v9802,Prague,2/1/2023,PON,1:30
v9803,Prague,9/1/2023,PON,1:30
v9804,Prague,16/1/2023,PON,1:30
v9805,Prague,23/1/2023,PON,1:30
v9806,Prague,30/1/2023,PON,1:30
v9807,Prague,6/2/2023,PON,1:30
v9808,Prague,13/2/2023,PON,1:30
v9809,Prague,20/2/2023,PON,1:30
v9810,Prague,27/2/2023,PON,1:30
v9811,Prague,6/3/2023,PON,1:30
v9812,Prague,13/3/2023,PON,1:30
v9813,Prague,20/3/2023,PON,1:30
v9814,Prague,4/11/2022,PET,1:30
v9815,Prague,11/11/2022,PET,1:30
v9816,Prague,18/11/2022,PET,1:30
v9817,Prague,25/11/2022,PET,1:30
v9818,Prague,2/12/2022,PET,1:30
v9819,Prague,9/12/2022,PET,1:30
v9820,Prague,16/12/2022,PET,1:30
v9821,Prague,23/12/2022,PET,1:30
v9822,Prague,30/12/2022,PET,1:30
v9823,Prague,6/1/2023,PET,1:30
v9824,Prague,13/1/2023,PET,1:30
v9825,Prague,20/1/2023,PET,1:30
v9826,Prague,27/1/2023,PET,1:30
v9827,Prague,3/2/2023,PET,1:30
v9828,Prague,10/2/2023,PET,1:30
v9829,Prague,17/2/2023,PET,1:30
v9830,Prague,24/2/2023,PET,1:30
v9831,Prague,3/3/2023,PET,1:30
v9832,Prague,10/3/2023,PET,1:30
v9833,Prague,17/3/2023,PET,1:30
v9834,Prague,24/3/2023,PET,1:30
v9835,Rome Fiumicino,2/11/2022,SRE,1:0
v9836,Rome Fiumicino,3/11/2022,CET,1:0
v9837,Rome Fiumicino,5/11/2022,SOB,1:0
